year	module	programme	science	grade	mark
2012	SPS9D8	Bachelor of Arts with Honours in Psychology and Sports Studies	0	1A	18
2014	SPS9D8	Bachelor of Arts with Honours in Psychology and Sports Studies	0	1A	18
2013	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1A	18
2013	SPS9D4	Diploma in Higher Education in Sport and Exercise Science	0	1A	18
2014	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1A	18
2013	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1A	18
2013	SPS9D8	Bachelor of Arts with Honours in Business Studies and Sports Studies	0	1B	17
2013	SPS9D8	Bachelor of Arts with Honours in Marketing and Sports Studies	0	1B	17
2013	SPS9D8	Bachelor of Arts with Honours in Psychology and Sports Studies	0	1B	17
2014	SPS9D8	Bachelor of Arts with Honours in Psychology and Sports Studies	0	1B	17
2011	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1B	17
2014	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1B	17
2014	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2014	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2013	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2012	SPS9D6	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2014	SPS9D6	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2014	SPS9D6	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2014	SPS9D6	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2011	SPS9D8	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2012	SPS9D8	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2012	SPS9D8	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2014	SPS9D8	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2014	SPS9D8	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2014	SPS9D8	Bachelor of Science with Honours in Sport and Exercise Science	1	1B	17
2012	SPS9D8	Bachelor of Arts with Honours in Film & Media and Sports Studies	0	1C	16
2013	SPS9D8	Bachelor of Arts with Honours in Journalism Studies and Sports Studies	0	1C	16
2011	SPS9D8	Bachelor of Arts with Honours in Psychology and Sports Studies	0	1C	16
2014	SPS9D8	Bachelor of Arts with Honours in Psychology and Sports Studies	0	1C	16
2014	SPS9D8	Bachelor of Arts with Honours in Psychology and Sports Studies	0	1C	16
2014	SPS9D4	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2012	SPS9D6	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2011	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2011	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2012	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2012	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2013	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2013	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2013	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2014	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2014	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2014	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2014	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2014	SPS9D8	Bachelor of Arts with Honours in Sports Studies	0	1C	16
2012	SPS9D8	Bachelor of Arts with Honours in Sports Studies and Tourism Management	0	1C	16
2014	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS9D4	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2012	SPS915	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS915	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS915	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS915	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2012	SPS9C5	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2012	SPS9C5	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2012	SPS9C5	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS9C5	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS9C5	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2013	SPS9C5	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2011	SPS9D6	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
2012	SPS9D6	Bachelor of Science with Honours in Sport and Exercise Science	1	1C	16
