place	time	pace	age	gender	state
4494	92.25	9.225	38	M	MD
6298	106.35	10.635	33	M	DC
2502	89.33	8.933	55	F	VA
8176	113.5	11.35	24	F	VA
3413	86.52	8.652	54	M	CA
8008	112.3	11.23	42	F	MD
8791	118.45	11.845	36	F	VA
3987	95.17	9.517	25	F	VA
3451	93.25	9.325	25	F	PA
1046	72.37	7.237	43	M	MD
3484	86.9	8.69	55	M	VA
2987	84.47	8.447	30	M	MD
4427	96.65	9.665	39	F	CA
6496	108.93	10.893	40	M	VA
5827	101.58	10.158	30	F	DC
1224	82.78	8.278	24	F	VA
4942	98.32	9.832	45	F	MD
9579	134.18	13.418	33	F	VA
6425	107.98	10.798	41	M	VA
5951	102.08	10.208	36	F	VA
8609	116.78	11.678	38	F	NJ
3586	87.42	8.742	45	M	NJ
3823	94.58	9.458	35	F	MD
2123	79.25	7.925	37	M	VA
4517	92.37	9.237	23	M	DC
6525	109.28	10.928	51	M	VA
227	62.47	6.247	30	M	VA
6462	108.45	10.845	46	M	VA
7503	109.05	10.905	27	F	VA
5751	100.62	10.062	23	M	MD
953	80.73	8.073	31	F	VA
2937	91.2	9.12	51	F	OH
1145	82.23	8.223	65	F	VA
3146	85.15	8.515	34	M	VA
6783	105.45	10.545	31	F	MD
4098	95.55	9.555	27	F	NC
6222	103.2	10.32	26	F	VA
1823	77.7	7.77	39	M	VA
5029	98.6	9.86	33	F	VA
6945	119.43	11.943	53	M	VA
6669	104.97	10.497	27	F	VA
3733	94.27	9.427	22	F	CO
6026	102.42	10.242	24	F	MD
2144	87.85	8.785	33	F	DC
1750	86.07	8.607	43	F	VA
6132	102.82	10.282	30	F	DC
394	65.52	6.552	33	M	DC
863	79.93	7.993	29	F	VA
5167	99.1	9.91	29	F	DC
4498	96.9	9.69	37	F	MD
868	80	8	25	F	TX
7340	108.12	10.812	31	F	VA
200	70.97	7.097	34	F	VA
4130	90.18	9.018	43	M	VA
1193	73.45	7.345	40	M	VA
1678	76.8	7.68	43	M	CT
5335	97.42	9.742	29	M	DC
1556	85.02	8.502	34	F	MD
3974	95.15	9.515	28	F	VA
6862	116.85	11.685	28	M	DC
8203	113.77	11.377	35	F	VA
4952	94.98	9.498	44	M	VA
549	76.83	7.683	42	F	VA
5605	99.45	9.945	27	M	DC
3782	94.45	9.445	28	F	MD
4350	91.5	9.15	24	M	MD
876	80.1	8.01	32	F	VA
5726	101.18	10.118	46	F	VA
1421	75.28	7.528	38	M	DE
7562	109.35	10.935	22	F	DC
5715	100.35	10.035	33	M	VA
6956	106.32	10.632	28	F	MA
5843	101.35	10.135	23	M	DC
5625	99.65	9.965	47	M	VA
835	79.75	7.975	16	F	DC
7841	111.15	11.115	29	F	PA
7371	108.28	10.828	18	F	VA
6571	110.08	11.008	44	M	MD
5903	101.87	10.187	27	F	NC
8990	120.68	12.068	46	F	VA
130	68.55	6.855	33	F	DC
4809	97.83	9.783	31	F	VA
6737	113.65	11.365	41	M	VA
5480	98.4	9.84	26	M	MD
5558	100.6	10.06	30	F	VA
3414	86.53	8.653	65	M	VA
4782	97.73	9.773	31	F	GA
2049	78.9	7.89	62	M	PA
4134	90.25	9.025	38	M	NY
2413	81	8.1	36	M	DC
4034	89.7	8.97	37	M	MD
993	71.93	7.193	27	M	VA
3619	93.87	9.387	26	F	NC
7557	109.3	10.93	25	F	GA
5918	101.95	10.195	57	F	VA
6226	103.22	10.322	40	F	VA
470	75.93	7.593	33	F	VA
6901	118.18	11.818	30	M	VA
6452	104.1	10.41	35	F	VA
2987	91.43	9.143	32	F	PA
3824	94.58	9.458	57	F	VA
5942	102.37	10.237	30	M	MD
4547	92.52	9.252	36	M	MD
9506	131.33	13.133	55	F	VA
3464	93.32	9.332	27	F	VA
9711	145.67	14.567	33	F	VA
2176	79.57	7.957	28	M	DC
849	79.83	7.983	32	F	MD
8348	114.67	11.467	45	F	MD
2877	90.98	9.098	43	F	VA
9222	124.37	12.437	31	F	DC
5112	98.93	9.893	29	F	DC
5998	102.9	10.29	57	M	VA
62	64.77	6.477	43	F	VA
2492	81.58	8.158	46	M	NY
220	62.32	6.232	40	M	WI
4836	97.92	9.792	40	F	NJ
1735	77.2	7.72	60	M	CA
309	73.48	7.348	26	F	VA
3565	93.72	9.372	44	F	VA
9475	130.42	13.042	32	F	MD
1136	82.17	8.217	29	F	VA
947	80.63	8.063	51	F	DC
2915	83.98	8.398	34	M	MD
5489	100.32	10.032	50	F	VA
433	75.47	7.547	24	F	DC
1395	84.05	8.405	43	F	VA
3487	86.9	8.69	29	M	MD
3841	88.67	8.867	42	M	VA
2813	90.7	9.07	25	F	PA
2463	89.18	8.918	30	F	VA
1295	74.33	7.433	57	M	VA
597	68.07	6.807	25	M	DC
3602	93.8	9.38	38	F	TX
8400	115.1	11.51	31	F	VA
2850	90.87	9.087	27	F	VA
2225	88.15	8.815	48	F	NJ
1639	85.47	8.547	30	F	VA
9344	127.2	12.72	30	F	VA
1329	83.55	8.355	23	F	MD
4268	96.07	9.607	26	F	DC
2904	91.08	9.108	30	F	DC
4009	89.53	8.953	29	M	DC
4333	91.38	9.138	55	M	NH
5046	98.67	9.867	32	F	VA
402	75.02	7.502	38	F	VA
2939	84.25	8.425	58	M	PA
5336	99.78	9.978	31	F	VA
1762	77.37	7.737	53	M	VA
7311	107.95	10.795	29	F	NY
3119	91.93	9.193	36	F	VA
2154	87.88	8.788	28	F	VA
5515	98.68	9.868	33	M	DC
408	75.1	7.51	50	F	VA
1201	82.63	8.263	26	F	DC
3033	84.65	8.465	27	M	VA
1689	85.7	8.57	23	F	DC
1263	74.07	7.407	35	M	VA
4657	93.2	9.32	32	M	MD
3566	87.28	8.728	41	M	WI
4775	93.93	9.393	40	M	VA
7813	110.92	11.092	32	F	VA
288	73.3	7.33	56	F	MD
5882	101.8	10.18	41	F	DC
7568	109.43	10.943	44	F	MD
6924	118.85	11.885	29	M	DC
1070	72.57	7.257	43	M	MD
5622	99.63	9.963	53	M	VA
4935	98.28	9.828	30	F	MA
5657	99.92	9.992	36	M	VA
3370	92.98	9.298	32	F	DC
6891	106.02	10.602	22	F	DC
7150	107.3	10.73	25	F	DC
6556	109.8	10.98	45	M	VA
6374	107.33	10.733	66	M	MD
7806	110.88	11.088	37	F	VA
3600	93.8	9.38	40	F	MD
5219	99.33	9.933	27	F	VA
2945	91.23	9.123	33	F	VA
7931	111.75	11.175	33	F	DC
4919	94.82	9.482	62	M	MD
3203	85.45	8.545	44	M	MD
7649	109.93	10.993	53	F	NJ
1235	82.87	8.287	36	F	MD
7490	108.93	10.893	20	F	DC
3167	85.27	8.527	30	M	MD
5498	100.35	10.035	36	F	VA
4934	98.28	9.828	30	F	DC
8603	116.72	11.672	28	F	CA
1973	87.17	8.717	29	F	DC
4719	97.53	9.753	29	F	DC
6508	109.12	10.912	47	M	VA
1688	76.85	7.685	36	M	DC
8323	114.48	11.448	23	F	DC
4739	93.73	9.373	36	M	IN
2688	90.18	9.018	31	F	DC
1847	77.8	7.78	24	M	DC
6868	105.93	10.593	37	F	VA
5319	97.33	9.733	30	M	MD
5902	101.87	10.187	26	F	VA
4474	92.17	9.217	48	M	MD
3657	87.73	8.773	30	M	DC
1450	84.37	8.437	27	F	NC
4498	92.3	9.23	37	M	MD
3030	84.65	8.465	35	M	VA
1479	84.52	8.452	25	F	DC
2217	88.12	8.812	34	F	VA
2160	79.45	7.945	66	M	MD
4286	91.07	9.107	55	M	VA
9651	138.32	13.832	27	F	OH
8878	119.43	11.943	45	F	MD
1674	76.77	7.677	26	M	MD
5563	100.6	10.06	26	F	MD
8650	117.17	11.717	32	F	MD
6488	104.25	10.425	38	F	MD
5152	96.28	9.628	50	M	NC
3662	93.98	9.398	50	F	PA
8736	117.85	11.785	35	F	VA
8742	117.9	11.79	28	F	VA
5680	100.08	10.008	57	M	IL
4385	91.7	9.17	39	M	MA
2764	83.15	8.315	33	M	VA
5381	97.72	9.772	32	M	NY
1328	83.53	8.353	26	F	NY
8239	114.02	11.402	37	F	DC
1341	83.63	8.363	41	F	DC
4302	91.18	9.118	24	M	DC
776	69.92	6.992	45	M	VA
6977	120.42	12.042	32	M	VA
7066	106.88	10.688	28	F	DC
5797	100.93	10.093	32	M	VA
2195	79.67	7.967	38	M	VA
6251	105.75	10.575	44	M	VA
3348	92.87	9.287	41	F	VA
6511	109.15	10.915	40	M	VA
4318	96.2	9.62	28	F	MN
4313	96.2	9.62	35	F	MA
2068	87.57	8.757	26	F	DE
7169	138.4	13.84	39	M	MD
362	74.48	7.448	28	F	VA
5113	96.02	9.602	38	M	MD
2457	89.15	8.915	29	F	DC
7995	112.2	11.22	38	F	NC
2379	80.83	8.083	31	M	VA
6923	118.83	11.883	56	M	VA
3519	87.03	8.703	41	M	VA
7151	134.78	13.478	30	M	NY
2213	79.82	7.982	31	M	DC
481	76	7.6	32	F	DC
8532	116	11.6	31	F	DC
5514	100.45	10.045	31	F	DC
8363	114.78	11.478	42	F	MD
656	78.03	7.803	29	F	MD
2871	90.93	9.093	21	F	MD
893	80.28	8.028	29	F	DC
1814	77.63	7.763	52	M	VA
9679	140.08	14.008	37	F	VA
1117	82.05	8.205	32	F	VA
6215	105.23	10.523	34	M	DC
8385	115.03	11.503	25	F	VA
1540	84.92	8.492	28	F	DC
5285	97.13	9.713	28	M	DC
4632	93.03	9.303	34	M	VA
5930	101.98	10.198	28	F	MD
4512	96.95	9.695	25	F	MD
2750	83.07	8.307	15	M	MD
1074	72.6	7.26	35	M	VA
5380	99.93	9.993	35	F	VA
3142	92.03	9.203	26	F	NJ
2825	83.5	8.35	35	M	MD
1037	72.28	7.228	41	M	MD
1816	77.65	7.765	50	M	MD
6357	107.13	10.713	30	M	PA
2820	83.45	8.345	39	M	VA
4973	95.08	9.508	26	M	VA
3201	85.45	8.545	27	M	MD
4282	91.05	9.105	32	M	MD
3017	84.58	8.458	23	M	DC
754	79.08	7.908	47	F	MD
5637	100.87	10.087	33	F	MD
463	66.5	6.65	40	M	DC
1585	85.17	8.517	59	F	MD
7459	108.77	10.877	25	F	DC
6209	105.18	10.518	60	M	MD
799	70.17	7.017	41	M	MD
2307	80.33	8.033	41	M	DC
5349	97.5	9.75	32	M	VA
2576	82.05	8.205	52	M	MD
2200	79.72	7.972	26	M	VA
3682	87.83	8.783	30	M	NC
3766	88.25	8.825	32	M	MD
2186	79.65	7.965	38	M	MD
9134	122.87	12.287	28	F	VA
5439	98.08	9.808	33	M	DC
1239	82.87	8.287	31	F	VA
4140	95.72	9.572	54	F	NY
1649	76.62	7.662	39	M	MD
1977	78.45	7.845	37	M	VA
839	70.53	7.053	26	M	VA
8257	114.08	11.408	42	F	DC
4008	95.22	9.522	39	F	DC
1577	76.13	7.613	41	M	PA
996	81.17	8.117	32	F	DC
480	75.97	7.597	20	F	MD
6237	105.55	10.555	42	M	DC
9280	125.85	12.585	29	F	VA
2931	84.13	8.413	36	M	MD
6325	103.67	10.367	29	F	VA
1138	73.1	7.31	37	M	VA
6654	111.77	11.177	47	M	DC
2345	80.6	8.06	43	M	VA
3212	85.5	8.55	58	M	MD
6785	105.47	10.547	29	F	DC
4767	97.7	9.77	36	F	VA
4439	91.98	9.198	38	M	MD
1030	81.37	8.137	26	F	DC
1381	74.95	7.495	34	M	VA
5877	101.72	10.172	31	M	VA
8903	119.72	11.972	29	F	VA
3182	92.22	9.222	55	F	VA
3844	94.67	9.467	34	F	NY
5189	96.47	9.647	25	M	DC
6736	113.6	11.36	26	M	MD
9594	134.88	13.488	30	F	VA
7003	106.53	10.653	27	F	VA
8636	117.07	11.707	33	F	VA
6291	103.52	10.352	28	F	DC
5790	101.43	10.143	37	F	MD
4446	92.05	9.205	30	M	DC
5456	100.18	10.018	33	F	VA
9175	123.57	12.357	48	F	VA
4872	94.6	9.46	33	M	DC
6627	111.4	11.14	36	M	DC
6283	103.48	10.348	30	F	VA
